@relation 'partition'
@attribute attr0 numeric
@attribute attr1 numeric
@attribute label0 {0,1}
@attribute label1 {0,1}
@attribute label2 {0,1}
@attribute label3 {0,1}
@data
-5.37828054711,6.93508598584,0,1,0,0
-1.1493052934,-5.77920056643,1,0,0,0
0.00625593543403,3.46777977663,0,0,0,1
3.05397535778,5.61983514633,0,0,0,1
7.79074765861,-6.47457179327,0,0,1,0
-6.37266896126,1.51094851923,0,1,0,0
-4.59419774618,1.51102537064,0,1,0,0
2.94348619657,-6.33809384888,0,0,1,0
-1.58779945998,0.504379149106,0,1,0,0
1.33590226824,-0.907431611306,0,0,1,0
3.62924333351,0.727333415892,0,0,0,1
7.03034802016,-1.92376171262,0,0,1,0
6.18106172109,-2.27353834584,0,0,1,0
-8.20586743299,0.148959181388,0,1,0,0
4.96642330007,0.472276625868,0,0,0,1
4.64458652268,0.723127767495,0,0,0,1
3.1877059029,0.605885795316,0,0,0,1
-10.781222751,0.715447855841,0,1,0,0
-0.874354490059,-0.511193069876,1,0,0,0
1.58412188955,3.53994860533,0,0,0,1
1.98045989161,-5.96731674211,0,0,1,0
1.80072120624,-7.03950790111,0,0,1,0
-6.98513778303,-5.47787372618,1,0,0,0
-6.28149967472,-0.394789041933,1,0,0,0
-0.315634706026,-3.59254674539,1,0,0,0
1.43279039519,-8.27962221291,0,0,1,0
6.43919688231,2.64172734058,0,0,0,1
-7.90043186349,-0.348266284456,1,0,0,0
4.16464209043,4.67950005646,0,0,0,1
-2.69476717402,-0.501395028627,1,0,0,0
3.3590904321,4.94631838,0,0,0,1
-4.48459910423,3.98970611693,0,1,0,0
-0.24253208209,2.7182180343,0,1,0,0
4.76980194489,-6.51353826449,0,0,1,0
2.84851742673,1.63595394744,0,0,0,1
-5.73820327836,-0.8688933571,1,0,0,0
-0.757423048659,-0.138177543518,1,0,0,0
-2.9014247133,-1.13459576838,1,0,0,0
-8.95003028984,-0.453909364728,1,0,0,0
-4.64979144451,10.6645199684,0,1,0,0
8.1245219257,7.16861315771,0,0,0,1
-0.816566534751,0.472561683356,0,1,0,0
2.20226729714,-2.58275956843,0,0,1,0
1.82809125198,-2.69341360124,0,0,1,0
-1.69777998292,-7.19714952164,1,0,0,0
3.24974638356,-6.24907503713,0,0,1,0
