@relation 'partition'
@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute label0 {0,1}
@attribute label1 {0,1}
@attribute label2 {0,1}
@attribute label3 {0,1}
@attribute label4 {0,1}
@attribute label5 {0,1}
@attribute label6 {0,1}
@attribute label7 {0,1}
@data
5.07299407608,6.80368482134,0.390961807884,0,0,0,0,0,0,0,1
-1.08415179741,-2.01023939342,-0.490193993102,1,0,0,0,0,0,0,0
5.66791857888,3.99804847041,7.9952820608,0,0,0,0,0,0,0,1
1.11784123153,6.77056001244,-5.47697630297,0,0,0,0,0,0,1,0
3.82116958651,-10.0875995114,9.37685781804,0,0,0,0,0,1,0,0
-0.767721209081,-5.35177935626,-2.51839101214,1,0,0,0,0,0,0,0
9.76097640541,-2.63769640931,10.1462851993,0,0,0,0,0,1,0,0
4.91644290741,-3.07636202686,6.27766751367,0,0,0,0,0,1,0,0
11.3324180797,-4.26004015654,-8.75473066375,0,0,0,0,1,0,0,0
-9.57151717171,-10.6442123712,-3.01476539716,1,0,0,0,0,0,0,0
-0.136974464058,16.9398794531,5.26673309906,0,0,0,1,0,0,0,0
-2.993904672,3.31564126747,4.40969046603,0,0,0,1,0,0,0,0
8.40000310651,-5.06638362214,-7.87706740616,0,0,0,0,1,0,0,0
2.88075942797,4.67606390309,4.81261047919,0,0,0,0,0,0,0,1
-0.914664416495,5.46060441697,-5.35846780485,0,0,1,0,0,0,0,0
4.37110386973,1.13527502599,-3.96477428421,0,0,0,0,0,0,1,0
3.64806325384,-1.43731549953,-9.41622651764,0,0,0,0,1,0,0,0
-1.16615705685,-6.72480290216,-5.11145940698,1,0,0,0,0,0,0,0
10.2507340022,-2.32626217717,2.60139977731,0,0,0,0,0,1,0,0
-3.15603159518,-3.50223557553,-1.40936188193,1,0,0,0,0,0,0,0
-0.666569641411,1.28244439343,2.93936977867,0,0,0,1,0,0,0,0
5.35684947081,1.36695489733,-2.27952355231,0,0,0,0,0,0,1,0
1.98279650352,3.7604173322,2.78641072999,0,0,0,0,0,0,0,1
-3.92216836147,-0.600671910529,3.51524928762,0,1,0,0,0,0,0,0
2.34687107479,-1.03043777333,3.44240991274,0,0,0,0,0,1,0,0
-1.66447626585,1.7984287215,-7.6242016194,0,0,1,0,0,0,0,0
-4.23939406181,3.79234995531,-6.5414348203,0,0,1,0,0,0,0,0
-8.99571438527,2.37501735272,-6.28533337194,0,0,1,0,0,0,0,0
-1.03256001045,-0.148367789528,-1.17012518584,1,0,0,0,0,0,0,0
-3.30198650353,-0.573669707597,-1.36055218545,1,0,0,0,0,0,0,0
8.9883636177,-1.45530499405,-8.79235032613,0,0,0,0,1,0,0,0
-0.141977879035,8.82797042548,-0.123291112338,0,0,1,0,0,0,0,0
3.40418952835,-2.88981251492,2.20146660656,0,0,0,0,0,1,0,0
-12.7181233226,-6.48110954477,4.60982121537,0,1,0,0,0,0,0,0
-2.32984588169,-0.144585340343,-4.39318930901,1,0,0,0,0,0,0,0
-6.95176676691,-1.76524802154,0.754962427637,0,1,0,0,0,0,0,0
-0.119565450225,4.81066689499,6.83444661349,0,0,0,1,0,0,0,0
-11.2134320742,-5.93348945946,5.40146953955,0,1,0,0,0,0,0,0
2.52150234033,11.0612712547,-6.38575419156,0,0,0,0,0,0,1,0
4.16292440407,1.41813439997,-2.63524428531,0,0,0,0,0,0,1,0
-2.58365369699,5.8497325924,2.24969388804,0,0,0,1,0,0,0,0
2.53016404863,-1.53021586886,9.35612210451,0,0,0,0,0,1,0,0
4.63341904495,-3.67398720094,-4.39764381986,0,0,0,0,1,0,0,0
5.99252348757,-2.22674599553,2.76252691419,0,0,0,0,0,1,0,0
7.10466536964,1.25661999606,3.42007449389,0,0,0,0,0,0,0,1
11.9587367741,2.11053935177,-0.303039685164,0,0,0,0,0,0,1,0
-8.97401886026,3.69219320144,-2.61539596992,0,0,1,0,0,0,0,0
-0.0840594631726,-0.364317848784,-10.7992352145,1,0,0,0,0,0,0,0
-6.66226467382,-5.17989378761,11.2581977585,0,1,0,0,0,0,0,0
9.04155915143,3.74775076962,5.06936492722,0,0,0,0,0,0,0,1
-7.31695390001,-0.901319966449,-0.989273580454,1,0,0,0,0,0,0,0
-6.19659319874,-6.66553931417,1.26243493458,0,1,0,0,0,0,0,0
1.62339309251,2.32811172287,-1.9258932402,0,0,0,0,0,0,1,0
3.56316328364,7.03157643268,9.60186739259,0,0,0,0,0,0,0,1
6.3994396139,8.06000442508,-8.24538078005,0,0,0,0,0,0,1,0
-4.66590288976,-3.37519917111,-0.932073838236,1,0,0,0,0,0,0,0
11.3918826008,3.38194801978,2.27660457549,0,0,0,0,0,0,0,1
-4.49932286873,-3.41576479863,2.15289917233,0,1,0,0,0,0,0,0
-13.0766045231,-5.78227250632,-4.70648812933,1,0,0,0,0,0,0,0
-4.53886192448,-5.75269432346,0.522434679315,0,1,0,0,0,0,0,0
-0.762486913599,5.51274614433,-7.08069462848,0,0,1,0,0,0,0,0
